jsonpointer,github.com/airplanedev/jsonpointer,4.8,-1,0,0,0,10,-1,0,0,10,10,10,10,-1,10,0,0
libcurl,github.com/karpierz/libcurl,4.7,-1,0,0,0,-1,10,0,10,0,-1,10,10,0,10,8,0
libffi,github.com/libffi/libffi,4.4,2,-1,10,0,10,0,-1,0,7,10,0,10,10,0,0,0
libjpeg-turbo,github.com/libjpeg-turbo/libjpeg-turbo,6.6,10,-1,0,0,10,-1,3,-1,10,10,0,10,10,10,0,10
libpng,github.com/glennrp/libpng,5.3,-1,0,0,0,10,-1,0,0,-1,10,10,10,10,0,7,10
libssh2,github.com/libssh2/libssh2,6.6,6,-1,10,2,9,10,10,0,0,10,10,5,10,10,8,0
libuv,github.com/libuv/libuv,5.8,-1,10,8,0,10,0,10,-1,10,0,9,10,0,0,-1,3
libxml2,github.com/GNOME/libxml2,5.7,0,10,-1,0,-1,0,9,-1,10,0,10,10,0,10,10,0
lockfile,github.com/golang-utils/lockfile,5.4,-1,0,0,0,10,-1,8,10,10,0,-1,10,10,0,7,0
lodash,github.com/esm-bundle/lodash,7.2,10,-1,10,0,10,-1,8,10,10,0,-1,10,10,7,0,0
lru-cache,github.com/allex/lru-cache,4.8,-1,0,0,0,10,-1,0,10,-1,10,10,0,10,10,0,0
make,github.com/go-make/make,4.9,-1,2,1,0,10,-1,0,10,0,10,-1,10,10,0,7,0
mime-db,github.com/ThilinaSampath/mime-db,4.8,0,-1,0,0,10,-1,-1,0,10,10,10,10,10,0,0,0
mime-types,github.com/pascaliske/mime-types,5.9,-1,10,10,0,10,0,0,10,10,-1,7,0,10,10,0,0
minimatch,github.com/GerHobbelt/minimatch,4.8,-1,0,0,0,10,-1,10,0,10,10,10,10,0,-1,0,0
minimist,github.com/p-mcgowan/minimist,4.8,0,-1,0,0,10,-1,-1,0,10,10,10,10,10,0,0,0
minitest,github.com/monix/minitest,4.8,-1,5,0,0,10,0,-1,0,10,10,10,7,-1,0,0,10
mkdirp,github.com/yoshuawuyts/mkdirp,5.4,0,-1,6,0,10,-1,0,10,-1,10,0,10,10,10,0,0
ms,github.com/vercel/ms,5.8,-1,10,6,0,10,10,10,7,10,-1,0,0,0,0,-1,6
mute-stream,github.com/isaacs/mute-stream,5.1,-1,3,0,0,10,-1,0,0,-1,10,10,10,10,10,0,0
nettle,github.com/scttnlsn/nettle,4.8,0,0,-1,0,10,-1,0,10,10,0,-1,10,10,10,0,0
node-gyp,github.com/TooTallNate/node-gyp,6.1,-1,10,9,0,10,-1,0,10,10,-1,10,0,0,7,10,0
node-uuid,github.com/kelektiv/node-uuid,6.1,-1,9,7,0,10,-1,0,-1,10,0,10,9,10,0,0,8
nopt,github.com/isaacs/nopt,6.3,5,-1,2,0,10,-1,0,10,10,10,-1,10,0,10,7,-1
normalize-git-url,github.com/npm/normalize-git-url,4.8,-1,0,0,0,10,-1,0,10,0,-1,10,10,10,10,0,0
normalize-package-data,github.com/meryn/normalize-package-data,6.2,2,-1,8,0,10,-1,0,10,10,10,-1,10,0,10,7,0
npm,github.com/paketo-buildpacks/npm,7.2,-1,10,10,0,10,0,8,10,10,-1,0,10,10,7,10,0
npm-cache-filename,github.com/npm/npm-cache-filename,4.8,0,0,-1,0,-1,0,10,10,-1,10,0,10,10,0,0,10
npm-init,github.com/walk8243/npm-init,4.8,0,0,-1,0,10,-1,0,10,10,-1,10,10,10,0,0,0
npm-install-checks,github.com/npm/npm-install-checks,5.6,2,-1,2,0,10,10,0,10,10,10,-1,7,0,-1,0,10
npm-package-arg,github.com/npm/npm-package-arg,6.4,7,5,-1,0,10,10,-1,10,10,0,10,10,7,0,-1,0
npm-registry-client,github.com/qiwi-forks/npm-registry-client,5.3,5,0,-1,0,10,-1,10,10,10,0,10,10,0,-1,0,0
npm-user-validate,github.com/npm/npm-user-validate,4.8,-1,0,0,0,10,-1,0,10,10,-1,0,10,10,10,0,0
npmlog,github.com/isaacs/npmlog,6,-1,2,6,0,10,10,-1,10,10,10,10,7,0,0,-1,0
oauth-sign,github.com/mikeal/oauth-sign,4.8,0,-1,0,0,-1,10,0,10,10,10,10,-1,0,10,0,0
once,github.com/rootstream/once,5.9,0,6,-1,0,10,-1,6,-1,10,0,10,10,10,10,0,0
