name, starcount, description, official
caapim/gateway, 35, CA API Gateway, 
mylandmarktech/myapp, 4, , 
odarriba/timemachine-rpi, 5, Lastest Netatalk with configurable user/pass…, 
wookietreiber/ganglia, 19, gmond / gmetad / ganglia-web 2.0, 
linuxserver/endlessh, 13, , 
hbpmip/portal-frontend, 3, Docker image for Portal Frontend, 
kayuii/hpool-miner, 3, chia chia-miner hpool-miner, 
bulktrade/kannel, 7, Kannel dockerized, 
icnteam/vswitch, 2, hICN virtual switch w VPP/DPDK support and N…, 
efrecon/webdav-client, 11, WebDAV client on top of davfs2 with easy acc…, 
bgruening/galaxy-stable, 48, Galaxy Docker Image, 
pirun/nf7v, 2, nf7v build enviroment, 
tgridcloudewsp/windowsservercore, 2, windows server core ltsc2019, 
aciobanu/scrapy, 19, An open source and collaborative framework f…, 
polinux/svn2git, 2, svn2git in a docekr (Alpine), 
fugary/simple-boot-douban-api, 10, 基于springboot开发的用于calibre-web的douban…, 
composer/composer, 2, Non "official-images" build of Composer cont…, 
jeboehm/mailserver-web, 2, Web services for docker mailserver., 
tock/kotlin_compiler, 2, , 
jonbaldie/yarn, 6, Fast, simple, and lightweight Yarn Docker im…, 
olaristv/olaris-server, 7, Olaris is an open-source, community driven, …, 
px4io/px4-dev-ros-melodic, 7, PX4 tool chain and SITL simulation support w…, 
juanluisbaptiste/otrs-mariadb, 10, Preconfigured MariaDB database for OTRS, 
goabout/gtfs-editor, 3, Conveyal GTFS Editor, 
geerlingguy/php-apache, 6, PHP + Apache image built from the Ansible Ro…, 
kauplan/review2.5, 4, for reviewstarter with Re:VIEW 2.5, 
nvdla/vp, 7, NVDLA virtual platform, 
mnuessler/riemann, 2, A docker image for Riemann, 
psguazz/elixir-elm, 2, Docker image for testing Phoenix + Elm appli…, 
dgraziotin/mysql, 5, , 
heroiclabs/nakama, 20, Distributed server for social and realtime g…, 
nimmis/java, 10, This is docker images of Ubuntu 14.04 LTS wi…, 
inextensodigital/php, 4, , 
passbolt/passbolt, 86, passbolt, password manager for teams, 
panubo/s3fs, 3, S3FS Fuse Docker Container, 
linuxserver/resilio-sync, 170, A Resilio Sync container, brought to you by …, 
satishweb/xrdp, 2, XRDP Server for GUI in Docker Container - Wo…, 
iyear/e5subbot, 2, , 
acockburn/appdaemon, 36, Python Apps for Home Assistant, 
ixsystems/chia-docker, 2, TruePool.io - Sponsored Docker Image for Tru…, 
benwang6/tedu-jdk, 8, oracle jdk 8u281 centos:7 JAVA_HOME=/usr/jdk…, 
zzcabc/danmuji, 4, Github 的 Bilibili_Danmuji 的 Docker 镜像, 
ansible/awx_task, 82, , 
vmirage/dropbox, 4, Run Dropbox inside Docker, 
azr4m/shinken-deb10, 2, Based on rohit01/shinken and adapted for Deb…, 
alfresco/alfresco-content-repository-community, 55, Alfresco Content Repository Community docker…, 
epflsti/octave-x11-novnc-docker, 30, A docker that runs Octave (and a little bit …, 
onjin/sentry-with-plugins, 3, , 
80x86/clash, 14, clash image with yacd web UI for Linux and R…, 
zuhkov/paperwork, 17, Paperwork by twostairs with embedded MariaDB…, 
jkpark/docker-ldap-account-manager, 5, Ldap Account Manager, 
lstcml/n1_kodcloud, 6, N1_可道云, 
kaarla/terraform-terratest, 2, , 
ujendges/freesweep, 3, , 
instructure/rvm, 3, A base image with RVM and several rubies ins…, 
ryanjh31011/qthread, 2, Qthread = Qt + OpenThread, 
stuckless/sagetv-server-java8, 3, , 
bitnami/pgpool, 14, , 
qxip/cgrates-docker, 2, CGRates in Docker w/ multiple Templates, 
xbw12138/mpush-xbw, 2, mpush-xbw, 
lobaro/restic-backup-docker, 14, Production ready flexible automation for reg…, 
zpex/web-pdf-toolbox, 3, Simple web toolbox for PDF files , 
lsioarmhf/jackett, 19, ARMHF based Linuxserver.io image of jackett, 
requarks/wiki, 233, Wiki.js - A modern, lightweight and powerful…, 
skbkontur/contrails.web, 2, Vostok Tracing UI, 
imdevops/ss5_proxy, 5, SS5 Proxy Server, 
ibmcom/ibm-mobilefoundation-ce, 3, IBM Mobile Foundation for Developers 8.0, 
capttofu/percona_xtradb_cluster_5_6, 3, , 
goude/jupyter-virtualenv, 2, Test build., 
coopernurse/nginx-s3-proxy, 4, , 
digitalhigh/phlex, 30, An automated build of the Phlex web app to c…, 
kannix/monero-full-node, 17, run monerod in a container 🦄, 
lhrbest/oracle_11g_ee_lhr_11.2.0.4, 3, Oracle 11g 企业版， 11.2.0.4 ，QQ:646634621…, 
cirit/jmeter, 30, Jmeter 2.13 + Debian OS + Java Server JRE 8, 
zimbra/zcs-foss, 4, Single-node FOSS Zimbra Installation, 
bigchaindb/bigchaindb, 21, The blockchain database., 
w32blaster/concourse-telegram-notifier, 4, The concourse resource to send notifications…, 
inputoutput/cardano-node, 56, Official IOHK images for Cardano Node, 
zymoresearch/bcl2fastq, 4, Illumina bcl2fastq conversion software, 
atunnecliffe/splunk, 2, Based on Alpine, provides a quick and simple…, 
nijtmans/fossil, 2, Simple, high-reliability, distributed softwa…, 
camil/gsutil, 4, gsutil tool for Google Cloud Storage on alpi…, 
rylwin/mailcatcher, 2, The smallest mailcatcher docker image there …, 
ummsbiocore/dolphinnext-studio, 3, , 
nestjs/cli, 21, Tool to manage Nestjs projects: Modern, powe…, 
vladgolubev/kadira-ui, 3, 1 click run, 
romansemko/nelson.cli, 5, Nelson Buid, 
jitsi/jibri, 14, Jibri image for Jitsi Meet, 
agowa338/syslog-ng-alpine, 2, Minimal syslog-ng container that listens for…, 
siebm/james, 3, James Full-Featured Docker image, 
plopix/docker-php-ez-engine, 2, Docker for PHP FPM and CLI for eZ Platform, 
yaoa/zoneminder-base, 5, , 
zhicwu/pdi-ce, 16, Docker image for Pentaho Data Integration(PD…, 
iyuucn/iyuuautoreseed, 6, IYUU自动辅种工具，目前能对国内大部分的PT站点…, 
calico/pod2daemon-flexvol, 4, , 
casbin/casbin-server, 2, A Docker image for github.com/casbin/casbin-…, 
haveagitgat/tdarr, 34, Tdarr V2 - Audio/Video library transcoding a…, 
wickr/bot-cloud, 4, The latest tag should always be used with th…, 
ibmcom/iib, 14, Official IBM Integration Bus for Developers …, 
fanvinga/docker-h5ai, 5, VINGA VERSION H5AI DOCKER BASED ON ALPINE, 
ldmbis/llvm, 2, Ubuntu 14.04 base + LLVM 3.6 and dev tools, 
netsage/nfdump-collector, 2, nfdump, sfcapd, nfcapd collector. Source: ht…, 
tresamigos/smv, 2, Spark Modularized View (SMV) framework for s…, 
crazymax/fail2ban, 63, Fail2ban Docker image based on Alpine Linux, 
wavefronthq/heapster-amd64, 2, , 
julienpeloton/s4cmb, 2,  Simulate systematic effects in the context …, 
taydy/dynamodb-manager, 3, dynamodb manager, 
atlas/slc6-atlasos, 2, ATLAS SLC6 Software Development OS, 
luiscoms/openshift-rabbitmq, 4, RabbitMQ docker image to use on Openshift ba…, 
cjhardekopf/icinga2, 3, Icinga2 with icinga-web using a /data volume…, 
apache/tika, 19, Apache Tika Server - the content analysis to…, 
haakenlid/opencv, 2, OpenCV and python 3, 
sipcapture/homer-app, 2, , 
b3log/pipe, 5, 🎷 B3log 分布式社区的博客端节点，欢迎加入下…, 
lvxj11/erpnext, 3, 一款开源erp软件，开箱即用的镜像。, 
rondinif/openshift-kafka, 3, Run Apache Kafka and Apache ZooKeeper based …, 
magneticio/vamp, 12, Vamp is the Very Awesome Microservices Platf…, 
guillaumedsde/qbittorrent-openvpn, 5, Docker container running qBittorrent torrent…, 
cmdlabs/aws-utils, 2, , 
ckulka/multi-arch-example, 8, TL;DR reference for building multi-arch Dock…, 
jbcom/hamachi-vpn, 2, Containerized LogMeIn Hamachi (vpn.net) VPN …, 
sgarzarella/zoneminder-armhf, 6, Zoneminder 1.30.4 for armhf (tested on Raspb…, 
cibuilds/hugo, 15, Docker image for Hugo, the static-site gener…, 
musfur/diyhuedocker, 2, the Hue emulator of mariusmotea/diyHue in do…, 
rmrbest/ubuntu16-phalcon-php7, 2, A container with php7,apache, phalcon framew…, 
derailed/k9s, 5, Kubernetes CLI To Manage Your Clusters In St…, 
mono, 473, Mono is an open source implementation of Mic…, [OK]
hsac/fitnesse-fixtures-test-jre8-chrome, 2, Image to run FitNesse tests using hsac-fitne…, 
gzupark/jupyterlab, 4, Docker images for the JupyterLab, 
gksoftware/zulu-openjdk-tomcat, 2, tomcat image based on zulu-openjdk + gosu, 
hsfactory/ebotweb, 7, Dockerized ebot for everyone, 
scireum/s3-ninja, 9, Official docker image for S3 Ninja, 
kong/kubernetes-ingress-controller, 5, Use Kong for Kubernetes Ingress, 
argoproj/argoexec, 7, , 
buoyantio/kubectl, 5, Kubectl in a scratch image., 
ashdev/minecraft-spigot, 3, Spigot Server for Minecraft 1.12+ with sever…, 
csblusp/cemitool, 2, Official CEMiTool image., 
zuul/zuul, 3, , 
ibmcom/cloudant-developer, 27, IBM Cloudant Developer Edition (deprecated), 
dylanmei/cerebro, 4, A Docker build for Cerebro, an Elasticsearch…, 
epamedp/edp-cockpit, 2, Frontent service of EDP Platform is used for…, 
evolvedm/openvpn-rpi, 13, OpenVPN server in a Docker container on the …, 
tongueroo/sinatra, 2, , 
jahaulin/xoops, 2, Xoops 2.5.10, 
3scale/base, 4, Docker Base image with Ubuntu precise and tu…, 
alatas/squid-alpine-ssl, 4, Squid on Alpine Linux with SSLBump feature e…, 
arafato/azurite, 9, A cross-platform lightweight server clone of…, 
tomcat, 3351, Apache Tomcat is an open source implementati…, [OK]
stackatoapps/osqa, 3, , 
asciidoctor/docker-asciidoctor, 62, 🚢 A Docker image for using the Asciidoctor …, 
qmcgaw/latexdevcontainer, 3, , 
dcm4che/wildfly, 3, wildfly based on openjdk:14-buster for dcm4c…, 
lnterface/ssr-with-net_speeder, 19, ssr-with-net_speeder, 
voxxit/consul, 29, Blazing-fast Consul (consul.io) binary in Al…, 
ibmcom/ace-mqclient, 4, Official IBM App Connect Enterprise for Deve…, 
cym1102/svnwebui, 2, , 
devxci/mbtci-alpine, 2, Cloud MTA Build Tool docker image, 
adrianrudnik/mjml-server, 2, Standalone mjml server / microservice, liste…, 
boekhoff/jekyll-asciidoc, 2, Docker image for creating static sites from …, 
smebberson/alpine-nginx, 39, Alpine Linux, s6 process management running …, 
linuxserver/foldingathome, 49, , 
vrnetlab/vr-bgp, 2, vrnetlab BGP speaker, 
portainer/agent, 155, An agent used to manage all the resources in…, 
mesosphere/mesos-slave, 79, Mesos-Slave in Docker, 
cquad/jeedom, 3, , 
dmaxwell/airvideohd, 11, Air Video HD container based on phusion/base…, 
treibholz/tj3, 2, TaskJuggler in Docker, 
rdma/sriov-plugin, 4, docker sriov networking plugin for IB, RoCE,…, 
fsqio/fsqio, 3, A monorepo that holds all of Foursquare's op…, 
dcsunset/ubuntu-vnc, 3, A docker image of Ubuntu with Xfce desktop a…, 
lbjay/canvas-docker, 27, Minimal Canvas LMS instance. Intended for LT…, 
jpco/certbot, 2, Wrapper for certbot.  variables EMAIL and DO…, 
fpco/stack-build, 62, GHC, tools (stack, cabal-install, alex, etc.…, 
drud/watchtower, 5, , 
fbenz/docker-java-matlab, 15, , 
staphb/samtools, 2, Tools (written in C using htslib) for manipu…, 
tsitu/mhct-db-docker, 2, Assorted Docker images for MHCT's databases, 
dehim/ubuntu-vnpy, 3, VNPY on ubuntu 20.04, 
xcgd/py3o.fusion, 8, py3o.fusion dockerized @deprecated use xcgd/…, 
pottava/xray, 2, AWS X-Ray daemon images based on Alpine Linu…, 
midonet/cluster, 2, Midonet Cluster services, 
noobdockert/tzvim, 3, my zsh+oh_my_zsh+tmux+vim env, 
ultralytics/yolov3, 17, YOLOv3 🚀 in PyTorch > ONNX > CoreML > TFLite, 
rustlang/rust, 51, Rust is a systems programming language focus…, 
sqlflow/sqlflow, 3, SQLFlow official docker images, 
iksiknet/laravel-webapp, 2, Alpine Linux + NGINX + PHP 8.0 + Node.js + n…, 
rancher/nginx-ingress-controller, 10, , 
yuzhms/openselfsup, 2, , 
openebs/ansible-runner, 3, , 
lardbit/nefarious, 4, Nefarious, 
akyakya/jd_scripts, 108, 东东东东东东, 
wikibase/wdqs-frontend, 2, Wikibase Query Service Frontend, 
jrcs/letsencrypt-nginx-proxy-companion, 685, This is a legacy registry. Switch to the new…, 
geertw/docker-php-ci, 2, Dockerfiles for PHP CI purposes, 
fionnb/picapport, 17, Picapport container based on ubuntu-minimal, 
bdlss/loris-grok-docker, 2, Loris image server compiled with Grok 1.0, o…, 
ww24/deep-learning, 5, Caffe, Chainer, TensorFlow Environment., 
osehra/va-pals, 3, VA-PALS project image running on YottaDB, 
seblucas/alpine-minidlna, 2, Alpine based minidlna image available in mul…, 
heycalmdown/miniseminar, 2, miniseminar, 
1science/sbt, 21, SBT Docker images based on Alpine Linux, 
yoanlin/opencv-python3-tensorflow, 6, opencv python3 tensorflow , 
peloton/drone-rancher, 2, Rancher plugin for Drone, 
openzipkin/zipkin-dependencies, 12, Spark job that aggregates zipkin spans for u…, 
aqlx86/elasticsearch-cors, 2, default latest elasticsearch with http.cors.…, 
lcr073/servidoruebiancamargo, 4, Servidor Web configurado com o básico e ferr…, 
gradle, 475, Gradle is a build tool with a focus on build…, [OK]
andig/evcc, 8, EV Charge Controller, 
wywincl/ubuntu-cn, 2, Ubuntu chinese base., 
ciandt/percona, 2, These Docker image(s) intends to be a contai…, 
needo/sickrage, 13, , 
kasmweb/vs-code, 15, Visual Studio Code for Kasm Workspaces, 
apache/skywalking-cli, 3, Apache SkyWalking CLI, 
qnapnas/qiot-rabbitmq_amd64, 2, , 
subzero79/docker-telegram-sonarr-bot, 2, Docker Telegram Sonarr bot, 
excalidraw/excalidraw, 26, Virtual whiteboard for sketching hand-drawn …, 
llparse/vm-windows7, 3, , 
modularitycontainers/dhcp-server, 2, ISC DHCP server, 
goharbor/clair-photon, 2, , 
rabaco/watchtower-ecr, 2, 🐳 A Docker Image based on v2tec/watchtower …, 
wizbii/php, 2, php image from library with some more tools, 
kukielka/nginx-rtmp-ffmpeg, 6, nginx-rtmp with added ffmpeg for realtime en…, 
ikatson/reviewboard, 23, , 
riftbit/teeworlds, 2, Small, Fast and Fully Customizable server fo…, 
vimagick/mosquitto, 4, An Open Source MQTT v3.1/v3.1.1 Broker, 
apache/flink, 3, , 
sf2gis/kiftd, 4, kiftd 网盘的镜像仓库, 
nwtgck/llvm, 2, Available Versions: LLVM 5.0.0 ~ 2.8, 
hortonworks/nifi, 14, nifi, 
e2eteam/nginx, 2, , 
p3terx/tele-aria2, 10, A Telegram bot for controlling your Aria2 se…, 
xbgmsharp/ipxe-buildweb, 7, iPXE Prebuilt binary web interface , 
tvelocity/etherpad-lite, 55, Etherpad Lite image, with mysql support for …, 
rancher/coredns-coredns, 4, , 
ezkrg/bitlbee-libpurple, 5, bitlbee with libpurple and plugins slack, st…, 
geonetwork, 66, GeoNetwork is a FOSS catalog for spatially r…, [OK]
envoyproxy/envoy-alpine, 60, , 
iexechub/iexec-sdk, 2, Dockerized iexec-sdk, 
kikagaku/handson, 3, , 
dustin/couchbase, 7, Couchbase Server 2.2, 
packetworks/nxfilter-base, 9, An easy to use DNS server with configurable …, 
testcontainersofficial/ryuk, 2, , 
gbevan/ubuntu-foreman, 6, Ubuntu based Puppet Foreman with Ansible, 
mupkoo/ember-ci, 2, Docker image for testing Ember.JS apps, 
99cloud/skyline, 2, , 
josh5/lancache-bundle, 3, , 
portainer/portainer-k8s-beta, 5, Portainer for Kubernetes BETA, 
fogproject/fos-builder, 6, A fully setup build environment for the FOG …, 
appscode/voyager, 5, Secure Ingress Controller for Kubernetes by …, 
ubuntu/cortex, 3, Cortex provides storage for Prometheus. Long…, 
cw1900/docker-webcron, 10, Simple webcron with curl. Ideal for updating…, 
8x8cloud/kafka-utils-in-a-box, 2, Provides an Ubuntu 16.04 image of http://kaf…, 
adrianharabula/php7-with-oci8, 20, Latest PHP 7.1 with apache and Oracle oci8, 
lvenegas/drexler, 2, , 
5analytics/ada, 2, The 5Analytics Enterprise AI Platform, 
ibmcom/websphere-traditional, 202, Official IBM WebSphere Application Server tr…, 
appdynamics/sample-app-web-staging, 2, , 
ennweb/kvm, 16, QEMU/KVM docker image, 
eroji/rtsp2mjpg, 4, RTSP to MJPEG stream conversion using FFmpeg…, 
juniper/open-nti, 11, Open Network Telemetry Collector build with …, 
181gaming/golang, 2, Golang developer playground for building Go …, 
mltframework/melt, 3, , 
teic/oxgarage, 3, Docker image for the TEI OxGarage web servic…, 
iprobedroid/swgoh-arena-tracker, 4, , 
linuxserver/lidarr, 324, , 
psitrax/icinga2, 3, Icinga2 Docker Container, 
deangiberson/aws-dynamodb-local, 43, , 
rofl256/whiteboard, 3, This is a lightweight collaborative Whiteboa…, 
waisbrot/wait, 8, Wait for servers in other Docker containers …, 
weejewel/wg-easy, 49, The easiest way to run WireGuard VPN + Web-b…, 
ronivay/xen-orchestra, 24, Xen Orchestra in a container, 
nekroze/maraschino, 2, , 
gitbook/nuts, 6, Releases/downloads server with auto-updater …, 
gmsjy/onlyoffice, 3,  OnlyOffice Community server with license,ch…, 
snufkin/spark-worker, 2, , 
elasticio/docker-registry-ecs, 4, Docker image to run Docker private registry …, 
fxinnovation/json2hcl, 2, json2hcl in a container, 
eses/mongodb_exporter, 5, mongodb exporter for prometheus, 
huww98/gpu-board-server, 2, GPU Board Server, 
jc21/registry-ui-proxy, 2, This is a simple nginx docker image with a c…, 
btquanto/docker-jekyll, 2, Running Jekyll with a small-sized docker con…, 
fiji/fiji, 5, Official Fiji image, 
em24/kathena, 3, 엠펠리움 포럼은 KATHENA 개발과 배포를 하고 …, 
pceric/kafka-offset-lag-for-prometheus, 2, Expose kafka consumer offset lag to promethe…, 
iron/java, 12, Small Java Image, 
barcus/bareos-storage, 8, Docker image for Bareos Storage Daemon., 
secoresearch/fuseki, 4, Apache Jena Fuseki with SeCo extensions, 
vimagick/ffserver, 14, , 
mreichelt/android, 4, Docker images for Android development, 
percona/percona-backup-mongodb, 3, , 
microbox/etcd, 38, Trusted Automated etcd image (17MB size), 
tgagor/packtpublishingfreelearning, 5, Ready to run container with code from: https…, 
emdentec/heaven, 2, Heaven on Docker., 
jitsi/etherpad, 6, DEPRECATED, use upstream! - Etherpad (lite) …, 
kaazing/gateway, 11, Mirror of the official kaazing-gateway (http…, 
tiredofit/self-service-password, 20, LDAP Toolbox Self Service Password w/nginx,p…, 
kjmkznr/terraform, 2, terraform with git commands, 
harek/rtorrent-rutorrent-qnap-qts, 5, rTorrent&ruTorrent for qnap ContainerStation…, 
ubnt/ucrm-billing, 14, UCRM - Complete WISP Management Platform, 
muenchhausen/ubuntu-dovecot-simple-imap, 3, It is a simple Dovecot IMAP server, 
elsdoerfer/exim-sender, 14, , 
gimoh/pureftpd, 3,  Pure-FTPD in a docker container, 
hotio/lidarr, 22, Please visit https://hotio.dev for documenta…, 
ffdfgdfg/npc, 68, nps client, 
linuxserver/plex-meta-manager, 9, , 
erichough/nfs-server, 58, A lightweight, robust, flexible, and contain…, 
webdevops/hhvm-apache, 3, Apache with HHVM, 
huginn/huginn, 175, Build agents that monitor and act on your be…, 
limaofeng/owncloud-with-ocdownloader, 3, owncloud-with-ocdownloader, 
lmenezes/cerebro, 70, cerebro, 
percona/percona-xtrabackup, 6, , 
grpc/cxx, 29, C++ development environment of gRPC, a high …, 
drewster727/hddtemp-docker, 3, hddtemp docker container, 
elsaworkflows/elsa-dashboard, 3, The Elsa Dashboard, 
jokesterfr/npm-builder, 4, Tiny image to help you building your npm/bow…, 
nefrock/docker-mega-net-cpu, 2, (caffe + dlib + opencv) + tensorflow, 
ecdocker/eflow-ce-server, 2, , 
doubleshit/lnpps, 2, LINUX+NGINX1.14.0+PHP7.1+PYTHON2.7.15/3.6.5+…, 
ibmcom/kafka, 5, Docker Image for IBM Cloud Private-CE (Commu…, 
evgeniyklemin/rancher-compose, 3, rancher-compose, 
kpacha/mesos-influxdb-collector, 2, Containerized mesos stats collector for infl…, 
dellemc/csi-vxflexos, 3, CSI Driver for Dell PowerFlex, 
koda/docker-knowledge, 18, Free Knowledge Base System, 
pottava/s3-proxy, 19, Reverse proxy for AWS S3 with basic authenti…, 
cpoepke/mountebank-basis, 3, A basis Mountebank image, 
tkgregory/sample-metrics-application, 2, Application that exposes metrics on /metrics…, 
justb4/jmeter, 94, Lightweight Docker image for running the Apa…, 
galexrt/healthchecks, 9, Simple to use Docker image for https://githu…, 
civisanalytics/civis-jupyter-r, 2, Custom Jupyter Notebook image for R., 
nacos/nacos-server, 277, This project contains a Docker image meant t…, 
skleeschulte/basic-to-passport-auth-http-proxy, 5, HTTP Basic authentication to Passport SSI 1.…, 
dbface/dbface-docker, 2, DbFace On-Premise Official Docker Image: Dat…, 
dobsiin/fhem, 5, Dockerized FHEM, 
esme518/docker-shadowsocksr, 16, Dockerfiles for ShadowsocksR Server, 
imega/busted, 2, Busted is a unit testing framework. Lua: 5.1…, 
mbentley/omada-controller, 109, Docker image to run TP-Link Omada Controller, 
pestotoast/elasticsearch-armhf, 2, , 
ivories/mysql, 2, mysql, 
thinksvip/lnmp, 8, LNMP docker production environment, 
stefanschoof/vzlogger, 2, , 
moveit/moveit, 10, The MoveIt Motion Planning Framework, 
underworldcode/uwgeodynamics, 4, UWGeodynamics official images , 
w8ves/openwrt, 9, , 
sstarcher/sensu, 40, , 
yeasy/hyperledger-fabric-base, 6, Docker image for hyperledger fabric base., 
a76yyyy/qiandao, 82, [当前版本: 20220525] 新版自动签到开源框架, b…, 
vaikas/nodejsservice, 2, , 
taggr/docker-valheim-server, 3, Starts a Valheim dedicated server inside of …, 
yeasy/hyperledger-peer, 17, Hyperledger fabric peer, 
openstf/stf-armv7l, 5, An automated nightly build of the openstf/st…, 
dijedodol/simple-socks5-server, 14, simple implementation of socks5 proxy protoc…, 
jpodeszwik/kafka-offset-monitor, 4, , 
kriasoft/node-ci, 7, Node.js CI is a fork of the official Node.js…, 
openzwave/ozwdaemon, 14, OpenZWave Daemon (MQTT and Remote Access), 
muslcc/x86_64, 8, The 'musl.cc' toolchains on Alpine Linux bas…, 
rgonalo/appium-emulator, 4, Appium server to run tests on Android emulat…, 
ca0abinary/docker-pentaho, 6, Pentaho Server 7.0 (Alpine, PostgreSQL), 
wikiwi/dind, 2, dind is like docker:dind but let you pass an…, 
isim/wso2is, 8, Docker image for WSO2 Identity Server, 
herbrandson/k8dash, 7, A simple kubernetes dashboard, 
ubnt/unms-netflow, 5, , 
frjaraur/docker-on-docker, 2, Docker On Docker Proof Of Concept, 
dceoy/igv-webapp, 2, IGV Web App, 
okwrtdsh/anaconda3, 38, Anaconda3, Jupyter Notebook, OpenCV3, Tensor…, 
ohsucompbio/pbs-torque, 2, Centos 7 based container with PBS/Torque for…, 
spiralscout/roadrunner, 8, High-performance PHP application server, loa…, 
tnarik/malmo, 3, Docker container for Microsoft/Malmo., 
dkron/dkron, 14, Dkron - Distributed, fault tolerant job sche…, 
portainer/base, 2, Multi-stage build image to create the Portai…, 
foomo/pagespeed_exporter, 5, Pagespeed Exporter Build, 
jjanzic/docker-python3-opencv, 116, Based on official python:3 with addition of …, 
agoryachev/docker-swarm-elasticsearch, 3, An elasticsearch docker image configured to …, 
h2non/imaginary, 15, Simple and fast HTTP microservice for image …, 
mediawiki, 433, MediaWiki is a free software open source wik…, [OK]
kcyeu/agilefant, 6, The world's first dockerized Agilefant, 
qmcgaw/caddy-scratch, 2, Caddy server 1.0.0 with optional plugins on …, 
ix64/unlock-music, 14, Unlock encrypted music file in browser., 
wiserain/plexdrive, 10, Docker image for Plexdrive mount, 
dehy/adminer, 17, Very light (19MB) adminer with full capabili…, 
noiro/openvswitch, 3, Open vSwitch container for use with ACI Cont…, 
lolhens/artifactory, 6, Artifactory, 
ixdotai/qemu, 3, , 
upshift/dolibarr, 17, Dolibarr ERP server, 
namshi/smtp, 161, SMTP docker container, 
nearprotocol/nearcore, 5, , 
rdsubhas/tor-privoxy-alpine, 49, The smallest (15 MB) docker image with Tor a…, 
tvmai/demo-cpu, 4, , 
groovy, 129, Apache Groovy is a multi-faceted language fo…, [OK]
nmarus/haproxy-certbot, 11, Docker Container with haproxy, certbot, cron…, 
pe46dro/xbackbone-docker, 9, Container for XBackBone, a simple and lightw…, 
mendhak/udp-listener, 3, UDP Listener, logs output, 
opendatacube/wms, 3, A WMS server for OpenDataCube., 
ofbiz/full-trunk, 3, this image shows  how to create a docker ima…, 
cbeer/piwik, 9, , 
chchia/qbittorrent-synology, 2, for testing try at your own risk, work with …, 
goacme/lego, 13, Let's Encrypt client and ACME library writte…, 
s0fx2/aria2-alpine, 2, Aria2下载工具Docker镜像，方便迅速的搭建下载…, 
vbisbest/ideepcolor_osx, 5, ideepcolor for OSX docker image, 
fortio/fortio, 5, Fortio load testing library and tool in go. …, 
cndocker/shadowsocks-libev, 2, 基于alpine3.4系统运行的shadowsocks-libev 2.5…, 
owasp/modsecurity, 36, The Official ModSecurity Docker Image (No CR…, 
jhuopensource/meandemo, 2, One MEAN Docker Demo, 
lenisha/vsts-agent-infrastructure, 2, VSTS agent with ansible,packer,terraform, 
mendersoftware/deviceauth, 2, Device authentication service for Mender.io, 
algram/ytdl-webserver, 4, 📻 Webserver for downloading youtube videos.…, 
thajeztah/pgadmin4, 27, Simple Docker image for pgAdmin 4. Not inten…, 
jihong/keras-gpu, 3, A Docker image for GPU-enabled Keras., 
rnakato/singlecell_jupyter, 2, A docker image for single-cell analysis, bas…, 
rkitchen/excerpt, 2, Docker image of the extra-cellular RNA proce…, 
bigbrozer/x2go-kde, 2, Image to setup X2Go server with KDE Plasma 5., 
fabric8/java-alpine-openjdk8-jdk, 23, Fabric8 Java Base Image (Alpine, OpenJDK 8, …, 
ciandt/memcached, 3, These Docker image(s) intends to be a contai…, 
godatadriven/pyspark, 11, Apache PySpark, 
organizr/organizr, 157, Official Image for Organizr.  An HTPC/Homela…, 
tquinnelly/clamav-alpine, 3, ClamAV scanning Docker container based on Al…, 
noobx/jd, 121, , 
rpy2/rpy2, 7, Bridge between Python and R, 
kinto/kinto-server, 13, Kinto is a lightweight JSON storage service …, 
isce/isce2, 2, , 
eugenmayer/kontextwork-converter, 2, Convert file formats like docx, xlx to other…, 
flaresolverr/flaresolverr, 51, FlareSolverr is a proxy server to bypass Clo…, 
wappalyzer/cli, 3, , 
bitnami/nats-exporter, 2, , 
eerotal/libresignage, 8, An open source digital signage solution, 
kyero/solr, 2, Sunspot Solr, 
pengbai/docker-mkdocs, 2, MkDocs image using mkdocs-bootswatch theme, …, 
dchevell/jira-core, 14, Deprecated - use atlassian/jira-core, 
schreckgestalt/etlegacy, 3, Docker container for ET: Legacy dedicated se…, 
bwawrik/qiime, 3, qiime build for bioinformatics applications, 
pghalliday/tftp, 24, Alpine Linux super simple TFTP server implem…, 
ibmcom/ibm-storage-enabler-for-containers-db, 2, IBM Storage Enabler for Containers Database …, 
mkodockx/docker-kanban, 4, Kanban board based on kanboard.net, 
dbhi/prometheus-sql, 2, Prototype service for exposing metrics on SQ…, 
dcylabs/albatros, 2, Remotely manage your Docker server, 
linuxserver/netbox, 31, , 
sglahn/platformio-core, 2, PlatformIO Command Line Interface, 
jenkinsxio/jx, 5, , 
glerchundi/atlassian-stash, 4, , 
nbcuniversalpaint/ms-php, 2, Microservice PHP image starter-kit, 
vfarcic/jenkins, 2, , 
ojajoh/docker-python3-oracle-base, 2, , 
devkitpro/devkitppc, 6, cube/wii/wiiu development environment, 
l4digital/node-phantomjs-java, 2, Base image for projects that use latest, nod…, 
kong/kong-gateway, 12, Kong Gateway - The world’s most popular API …, 
remnux/viper, 19, Viper: Analyze and manage your collection of…, 
darkmagus/scratch3, 2, Dockerized version of Scratch 3 editor from:…, 
tumgis/3dcitydb-web-map, 2, Docker images for the 3D City Database 3D-We…, 
