name, starcount, description, official
riftbit/telegram-bot-api, 3, Small Image with Telegram Bot API Server bas…, 
rhastie/webmin-dhcp-dns, 3, On-switch implementation of Webmin, DNS (Bin…, 
cryptojunkies/ethminer, 3, , 
knjcode/rpi-ruby, 2, RPi-compatible Docker base image with Ruby, 
yobasystems/alpine-mariadb, 111, MariaDB running on Alpine Linux [docker] [am…, 
spritsail/iodine, 2, Iodine - A program to tunnel IP over DNS, 
dclong/vscode-server, 2, , 
ckan/postgresql, 8, PostgreSQL image for CKAN, 
directxman12/k8s-prometheus-adapter, 2, Unofficial builds of the Kubernetes custom m…, 
egifedcloud/fedcloud-userinterface, 2, EGI Federated Cloud Command Line interface, 
twilio/twilio-java, 3, , 
openfaas/faas-cli, 5, , 
hogelog/dmemo, 2, Database description management tool., 
infoglans/zpanelcp, 10, Docker image for ZPanelCP v10.1.3, 
gocd/gocd-agent-debian-10, 3, GoCD agent docker image based on Debian 10, 
alfpark/batch-shipyard, 2, Simplify HPC and Batch workloads on Azure, 
ctlc/buildstep, 5, Built from source at https://github.com/Cent…, 
lutece/lutece-demo, 5, All in one preconfigurated Lutece CMS based …, 
openshiftdemos/gogs, 6, Gogs git server optimized for use on OpenShi…, 
tiredofit/backuppc, 3, BackupPC (4.x) server w/S6 overlay, msmtp, Z…, 
bitnami/apache, 81, Bitnami Apache Docker Image, 
zeusro/hexo, 2, Use hexo wit git !, 
jimeh/znc, 53, Run the ZNC IRC Bouncer in a Docker containe…, 
luodaoyi/kms-server, 158, kms server, 
linuxserver/plexpy, 199, DEPRECATED PLEASE USE https://hub.docker.com…, 
erdosproject/pylot, 2, , 
li21hy/fastdfs-with-nginx, 2, FastDFS镜像，包含Nginx模块，可以使用浏览器浏…, 
victoriametrics/vmagent, 4, Agent for collecting metrics from various so…, 
xausky/drcd, 28, , 
silverpeas, 29, Silverpeas is a turnkey and open-source Coll…, [OK]
1ambda/kafka-connect, 5, Dockerized apache Kafka Connect, 
ej52/alpine-nginx-php, 6, NGINX + PHP-FPM image for Docker, based on A…, 
bopen/ubuntu-pyenv, 2, Ubuntu with modern python versions: 3.8, 3.7…, 
retrohunter/pjsip-docker, 3, Base pjsip docker, 
jpetazzo/clock, 6, , 
wiznote/wizserver, 142, WizNote server for hosting on your server or…, 
hussainalhaddad/tailscale, 3, , 
efabless/openlane, 4, , 
chrisvel/wreeto, 3, , 
myfinder/docker-norikra, 4, , 
pajinek/docker-spacewalk, 4, Spacewalk in Docker (without systemd), 
rancher/windows_exporter-package, 4, , 
ubuntu/apache2, 36, Apache, a secure & extensible open-source HT…, 
cdrx/scrapyd-authenticated, 7, scrapyd secured with a username and password…, 
shinobisystems/shinobi, 29, Official repository of Shinobi (ShinobiCCTV)., 
